    Finished `release` profile [optimized] target(s) in 0.08s
     Running tests/bench.rs (/Volumes/betterSSD/tessera-cache/target/M5-08/release/deps/bench-7d69129e3441e55c)

running 1 test
trace pixel (1366,903), tile=TileCoord { level: 0, x: 5, y: 3 }, sample=34646
prefix=54 id=LayerId(15) mode=HardLight CPU=[0.0044307946, 0.19876482, 0.057047103, 1.0] GPU=[0.0044307937, 0.19876482, 0.057047103, 1.0] error=9.313226e-10
prefix=55 id=LayerId(8) mode=Lighten CPU=[0.30236727, 0.3850081, 0.42301372, 1.0] GPU=[0.30236727, 0.3850081, 0.42301372, 1.0] error=0e0
prefix=56 id=LayerId(97) mode=VividLight CPU=[0.40798408, 0.45068598, 0.6198679, 1.0] GPU=[0.4079841, 0.45068598, 0.6198679, 1.0] error=2.9802322e-8
prefix=57 id=LayerId(88) mode=DarkerColor CPU=[0.40798408, 0.45068598, 0.6198679, 1.0] GPU=[0.4079841, 0.45068598, 0.6198679, 1.0] error=2.9802322e-8
prefix=58 id=LayerId(70) mode=VividLight CPU=[0.6217472, 0.56600857, 0.8144061, 1.0] GPU=[0.62174726, 0.56600857, 0.8144061, 1.0] error=5.9604645e-8
prefix=59 id=LayerId(61) mode=DarkerColor CPU=[0.6217472, 0.56600857, 0.81440616, 1.0] GPU=[0.62174726, 0.56600857, 0.81440616, 1.0] error=5.9604645e-8
prefix=60 id=LayerId(52) mode=Saturation CPU=[0.6227334, 0.56229365, 0.8316417, 1.0] GPU=[0.6227335, 0.5622937, 0.8316417, 1.0] error=5.9604645e-8
prefix=61 id=LayerId(34) mode=DarkerColor CPU=[0.6227334, 0.56229365, 0.8316417, 1.0] GPU=[0.6227335, 0.5622937, 0.8316417, 1.0] error=5.9604645e-8
prefix=62 id=LayerId(25) mode=Saturation CPU=[0.62370807, 0.5586225, 0.8486744, 1.0] GPU=[0.6237081, 0.5586225, 0.8486744, 1.0] error=5.9604645e-8
prefix=63 id=LayerId(16) mode=VividLight CPU=[0.73069304, 0.6380345, 0.89169836, 1.0] GPU=[0.7306931, 0.6380345, 0.89169836, 1.0] error=5.9604645e-8
prefix=64 id=LayerId(9) mode=Screen CPU=[0.8495402, 0.77051866, 0.9388131, 1.0] GPU=[0.84954023, 0.77051866, 0.9388131, 1.0] error=5.9604645e-8
prefix=65 id=LayerId(98) mode=LinearLight CPU=[0.91975474, 0.87760997, 0.96736693, 1.0] GPU=[0.91975474, 0.87760997, 0.96736693, 1.0] error=0e0
prefix=66 id=LayerId(89) mode=Lighten CPU=[0.91975474, 0.87760997, 0.96736693, 1.0] GPU=[0.91975474, 0.87760997, 0.96736693, 1.0] error=0e0
prefix=67 id=LayerId(62) mode=Lighten CPU=[0.91975474, 0.87760997, 0.96736693, 1.0] GPU=[0.91975474, 0.87760997, 0.96736693, 1.0] error=0e0
prefix=68 id=LayerId(53) mode=Color CPU=[0.9500694, 0.8617099, 0.96997243, 1.0] GPU=[0.9500694, 0.86170983, 0.96997243, 1.0] error=5.9604645e-8
prefix=69 id=LayerId(35) mode=Lighten CPU=[0.9500694, 0.86170995, 0.9699725, 1.0] GPU=[0.9500694, 0.86170983, 0.9699725, 1.0] error=1.1920929e-7
prefix=70 id=LayerId(26) mode=Color CPU=[0.9616179, 0.85565275, 0.970965, 1.0] GPU=[0.9616179, 0.8556527, 0.970965, 1.0] error=5.9604645e-8
prefix=71 id=LayerId(17) mode=LinearLight CPU=[0.97697073, 0.91339165, 0.982579, 1.0] GPU=[0.97697073, 0.9133916, 0.982579, 1.0] error=5.9604645e-8
